combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
170,0.6552851326855071,0.6487578747176987,0.3,0.001,8,100,50
171,0.6563549374461383,0.6489956020444551,0.3,0.001,8,100,100
172,0.7203649222905708,0.6866753833353144,0.3,0.001,10,1,10
173,0.7246441413330956,0.6876262926423392,0.3,0.001,10,1,50
174,0.7277644052182699,0.688458338285986,0.3,0.001,10,1,100
175,0.6875575762978812,0.6766908356115535,0.3,0.001,10,10,10
176,0.6890434162432023,0.6776417449185784,0.3,0.001,10,10,50
177,0.6913613265579032,0.6790681088791156,0.3,0.001,10,10,100
178,0.6576921933969273,0.6529181029359324,0.3,0.001,10,100,10
179,0.6555228670767584,0.648876738381077,0.3,0.001,10,100,50
180,0.656473804641764,0.6491144657078332,0.3,0.001,10,100,100
181,0.6623577308252355,0.6588612861048377,0.3,0.01,3,1,10
182,0.6656860123027547,0.6633781053132057,0.3,0.01,3,1,50
183,0.6757600071320318,0.6728871983834542,0.3,0.01,3,1,100
184,0.663308668390241,0.659217877094972,0.3,0.01,3,10,10
185,0.6631303675968024,0.6599310590752407,0.3,0.01,3,10,50
186,0.6745713351757748,0.6720551527398074,0.3,0.01,3,10,100
187,0.6515408160232979,0.6463806014501366,0.3,0.01,3,100,10
188,0.6565629550384833,0.6514917389753953,0.3,0.01,3,100,50
189,0.6657454459005676,0.6601687864019969,0.3,0.01,3,100,100
190,0.6810198805384684,0.6733626530369666,0.3,0.01,5,1,10
191,0.6895486018246114,0.6809699274931653,0.3,0.01,5,1,50
192,0.7023862589521856,0.6926185665042197,0.3,0.01,5,1,100
193,0.6777213158598556,0.6714608344229169,0.3,0.01,5,10,10
194,0.6840509940269234,0.6778794722453346,0.3,0.01,5,10,50
195,0.6976612879260646,0.6892903839296327,0.3,0.01,5,10,100
196,0.6583459629728685,0.6532746939260669,0.3,0.01,5,100,10
197,0.6629520668033639,0.6582669677879472,0.3,0.01,5,100,50
198,0.6737689816053015,0.6689646974919767,0.3,0.01,5,100,100
199,0.7042881340821967,0.6848924283846428,0.3,0.01,8,1,10
200,0.719176250334314,0.6936883394746226,0.3,0.01,8,1,50
201,0.7346587025645598,0.7039106145251397,0.3,0.01,8,1,100
202,0.6876170098956941,0.6772851539284441,0.3,0.01,8,10,10
203,0.6981961903063802,0.6858433376916676,0.3,0.01,8,10,50
204,0.7127277049716204,0.6955901580886723,0.3,0.01,8,10,100
205,0.6603369884995989,0.6558896945203851,0.3,0.01,8,100,10
206,0.6650619595257199,0.6605253773921312,0.3,0.01,8,100,50
207,0.6757005735342189,0.6695590158088672,0.3,0.01,8,100,100
208,0.7226233990074589,0.6870319743254487,0.3,0.01,10,1,10
209,0.7414638495141304,0.6967787947224533,0.3,0.01,10,1,50
210,0.7587590264776678,0.7072387970997266,0.3,0.01,10,1,100
211,0.6898160530147692,0.6790681088791156,0.3,0.01,10,10,10
212,0.7014353213871801,0.6871508379888268,0.3,0.01,10,10,50
213,0.716709756025081,0.696422203732319,0.3,0.01,10,10,100
214,0.6604261388963181,0.6560085581837632,0.3,0.01,10,100,10
215,0.6652996939169713,0.6605253773921312,0.3,0.01,10,100,50
216,0.6761760423167217,0.6694401521454891,0.3,0.01,10,100,100
217,0.6807524293483106,0.6777606085819565,0.3,0.1,3,1,10
218,0.7392945231939615,0.7307738024485915,0.3,0.1,3,1,50
219,0.7701405604588274,0.7617972185902769,0.3,0.1,3,1,100
220,0.6783750854357968,0.6746701533341257,0.3,0.1,3,10,10
221,0.7387001872158331,0.730179484131701,0.3,0.1,3,10,50
222,0.7669905797747467,0.7606085819564959,0.3,0.1,3,10,100
223,0.669370895367151,0.6644478782836087,0.3,0.1,3,100,10
224,0.7225045318118333,0.7149649352193035,0.3,0.1,3,100,50
225,0.753766604261389,0.7445619874004517,0.3,0.1,3,100,100
226,0.7008112686101453,0.6917865208605729,0.3,0.1,5,1,10
227,0.7680901013342842,0.7503863069059789,0.3,0.1,5,1,50
228,0.7950432379424088,0.7689290383929632,0.3,0.1,5,1,100
229,0.6963834655730885,0.6882206109592298,0.3,0.1,5,10,10
230,0.7611363703901816,0.7472958516581482,0.3,0.1,5,10,50
231,0.7853258447000089,0.7678592654225603,0.3,0.1,5,10,100
